SUBCONFLICT,FATALITIES,FATALITY_PERCENTAGE
Abduction/forced disappearance,0,0.0%
Armed clash,13373,46.54%
Arrests,0,0.0%
Attack,15074,52.46%
Change to group/activity,0,0.0%
Chemical weapon,0,0.0%
Disrupted weapons use,0,0.0%
Excessive force against protesters,5,0.02%
Grenade,0,0.0%
Headquarters or base established,0,0.0%
Looting/property destruction,0,0.0%
Mob violence,228,0.79%
Non-violent transfer of territory,0,0.0%
Other,0,0.0%
Peaceful protest,0,0.0%
Protest with intervention,0,0.0%
Remote explosive/landmine/IED,4,0.01%
Sexual violence,45,0.16%
Violent demonstration,7,0.02%
